id,name,parent_id/id,property_account_expense_categ_id/id,property_account_income_categ_id/id
product_import_cwa.afdeling_01,"AGF",,"voedselcoop_7301","voedselcoop_8001"
product_import_cwa.afdeling_02,"BROOD & BANKET",,"voedselcoop_7302","voedselcoop_8002"
product_import_cwa.afdeling_03,"KAAS & DELICATESSEN",,"voedselcoop_7303","voedselcoop_8003"
product_import_cwa.afdeling_04,"VLEES & VIS",,"voedselcoop_7304","voedselcoop_8004"
product_import_cwa.afdeling_05,"KOELVERS",,"voedselcoop_7305","voedselcoop_8005"
product_import_cwa.afdeling_06,"KRUIDENIERSWAREN",,"voedselcoop_7306","voedselcoop_8006"
product_import_cwa.afdeling_07,"NON-FOOD",,"voedselcoop_7307","voedselcoop_8007"
product_import_cwa.afdeling_08,"TRAITEUR - RESTAURANT",,"voedselcoop_7308","voedselcoop_8008"
product_import_cwa.afdeling_09,"STATIEGELD",,"voedselcoop_7309","voedselcoop_8009"
product_import_cwa.afdeling_10,"DIEPVRIES",,"voedselcoop_7310","voedselcoop_8010"
product_import_cwa.cbl_10105,"KOFFIE, CACAO, THEE",product_import_cwa.afdeling_06,"voedselcoop_7306","voedselcoop_8006"
product_import_cwa.cbl_10110,"HOUDBARE KOFFIEMELK, HOUDBARE KOFFIEROOM",product_import_cwa.afdeling_06,"voedselcoop_7306","voedselcoop_8006"
product_import_cwa.cbl_10115,SUIKER,product_import_cwa.afdeling_06,"voedselcoop_7306","voedselcoop_8006"
product_import_cwa.cbl_10120,RIJST EN DEEGWAREN HB,product_import_cwa.afdeling_06,"voedselcoop_7306","voedselcoop_8006"
product_import_cwa.cbl_10125,ONTBIJTPRODUCTEN,product_import_cwa.afdeling_06,"voedselcoop_7306","voedselcoop_8006"
product_import_cwa.cbl_10130,BAKPRODUCTEN EN DESSERTINGREDIËNTEN,product_import_cwa.afdeling_06,"voedselcoop_7306","voedselcoop_8006"
product_import_cwa.cbl_10135,"SOEPEN, BOUILLONS",product_import_cwa.afdeling_06,"voedselcoop_7306","voedselcoop_8006"
product_import_cwa.cbl_10140,"SAUZEN, MIXEN",product_import_cwa.afdeling_06,"voedselcoop_7306","voedselcoop_8006"
product_import_cwa.cbl_10145,"REFORMPRODUCTEN, DIEETPRODUCTEN",product_import_cwa.afdeling_06,"voedselcoop_7306","voedselcoop_8006"
product_import_cwa.cbl_10150,"BABYVOEDING, KINDERVOEDING",product_import_cwa.afdeling_06,"voedselcoop_7306","voedselcoop_8006"
product_import_cwa.cbl_10155,BOTERHAMBELEG,product_import_cwa.afdeling_06,"voedselcoop_7306","voedselcoop_8006"
product_import_cwa.cbl_10160,"KOEK, KOEKJES, BANKETSTUKSARTIKELEN",product_import_cwa.afdeling_06,"voedselcoop_7306","voedselcoop_8006"
product_import_cwa.cbl_10161,CHOCOLADE EN CHOCOLADEPRODUCTEN,product_import_cwa.afdeling_06,"voedselcoop_7306","voedselcoop_8006"
product_import_cwa.cbl_10162,SNOEP EN ZOETWAREN,product_import_cwa.afdeling_06,"voedselcoop_7306","voedselcoop_8006"
product_import_cwa.cbl_10165,"ZOUTJES, ONDERLEGGERS, NOTENBARPRODUCTEN",product_import_cwa.afdeling_06,"voedselcoop_7306","voedselcoop_8006"
product_import_cwa.cbl_10170,BIEREN,product_import_cwa.afdeling_06,"voedselcoop_7306","voedselcoop_8006"
product_import_cwa.cbl_10175,WIJNEN EN APERITIEVEN,product_import_cwa.afdeling_06,"voedselcoop_7306","voedselcoop_8006"
product_import_cwa.cbl_10180,NIET ALCOHOLHOUDENDE DRANKEN,product_import_cwa.afdeling_06,"voedselcoop_7306","voedselcoop_8006"
product_import_cwa.cbl_10220,RIJST EN DEEGWAREN SEMI SERS,product_import_cwa.afdeling_05,"voedselcoop_7305","voedselcoop_8005"
product_import_cwa.cbl_10265,"ZOUTJES, ONDERLEGGERS, NOTENBARPRODUCTEN SV",product_import_cwa.afdeling_06,"voedselcoop_7306","voedselcoop_8006"
product_import_cwa.cbl_10280,NIET-ALCOHOLHOUDENDE DRANKEN SV,product_import_cwa.afdeling_06,"voedselcoop_7306","voedselcoop_8006"
product_import_cwa.cbl_11105,HOUDBARE MELK,product_import_cwa.afdeling_06,"voedselcoop_7306","voedselcoop_8006"
product_import_cwa.cbl_11110,OVERIGE HOUDBARE ZUIVEL,product_import_cwa.afdeling_06,"voedselcoop_7306","voedselcoop_8006"
product_import_cwa.cbl_11205,EIEREN,product_import_cwa.afdeling_05,"voedselcoop_7305","voedselcoop_8005"
product_import_cwa.cbl_11210,DAGVERSE MELK,product_import_cwa.afdeling_05,"voedselcoop_7305","voedselcoop_8005"
product_import_cwa.cbl_11215,OVERIGE DAGVERSE ZUIVEL BULK,product_import_cwa.afdeling_05,"voedselcoop_7305","voedselcoop_8005"
product_import_cwa.cbl_11220,DAGVERSE ZUIVELSPECIALITEITEN,product_import_cwa.afdeling_05,"voedselcoop_7305","voedselcoop_8005"
product_import_cwa.cbl_11225,"GEELVETTEN, WITVETTEN",product_import_cwa.afdeling_05,"voedselcoop_7305","voedselcoop_8005"
product_import_cwa.cbl_11305,DIEPVRIES DESSERTS EN SAPPEN,product_import_cwa.afdeling_10,"voedselcoop_7310","voedselcoop_8010"
product_import_cwa.cbl_11310,IJS,product_import_cwa.afdeling_10,"voedselcoop_7310","voedselcoop_8010"
product_import_cwa.cbl_12205,NEDERLANDSE KAAS UITSNIJ,product_import_cwa.afdeling_03,"voedselcoop_7303","voedselcoop_8003"
product_import_cwa.cbl_12210,NEDERLANDSE KAAS VERPAKT,product_import_cwa.afdeling_03,"voedselcoop_7303","voedselcoop_8003"
product_import_cwa.cbl_12215,BUITENLANDSE SPECIALITEITEN UITSNIJ,product_import_cwa.afdeling_03,"voedselcoop_7303","voedselcoop_8003"
product_import_cwa.cbl_12220,BUITENLANDSE SPECIALITEITEN VERPAKT,product_import_cwa.afdeling_03,"voedselcoop_7303","voedselcoop_8003"
product_import_cwa.cbl_12225,OVERIGE SOORTEN VERPAKTE KAAS,product_import_cwa.afdeling_03,"voedselcoop_7303","voedselcoop_8003"
